,state,county,county name,state initial,studio_2020,studio_2021,studio_2022,bedroom_1_2020,bedroom_1_2021,bedroom_1_2022,bedroom_2_2020,bedroom_2_2021,bedroom_2_2022,bedroom_3_2020,bedroom_3_2021,bedroom_3_2022,bedroom_4_2020,bedroom_4_2021,bedroom_4_2022,pop2017,latitude,longitude
0,48,59,Callahan County,TX,673,761.0,715.0,699,789.0,760.0,920,1028.0,981.0,1209,1383.0,1337.0,1560,1764.0,1658.0,13660,32.2728116,-99.456155
1,48,253,Jones County,TX,673,761.0,715.0,699,789.0,760.0,920,1028.0,981.0,1209,1383.0,1337.0,1560,1764.0,1658.0,19970,31.5343241,-89.1705998
2,48,441,Taylor County,TX,673,761.0,715.0,699,789.0,760.0,920,1028.0,981.0,1209,1383.0,1337.0,1560,1764.0,1658.0,135370,32.2455088,-99.8124935
3,72,3,Aguada Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,39470,18.3793913,-67.1882365
4,72,5,Aguadilla Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,55720,18.4274454,-67.1540698
5,72,11,Añasco Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,27890,18.2854476,-67.1402935
6,72,71,Isabela Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,43315,18.4703856,-67.0242062
7,72,81,Lares Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,27320,18.2946746,-66.8771211
8,72,99,Moca Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,37675,19.3908634,-70.5231108
9,72,117,Rincón Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,14525,18.3402164,-67.2500174
10,72,131,San Sebastián Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,38970,43.318334,-1.9812313
11,72,141,Utuado Municipio,PR,379,379.0,407.0,390,390.0,423.0,444,444.0,486.0,553,552.0,604.0,601,602.0,711.0,30210,18.2655095,-66.70045189999999
12,39,133,Portage County,OH,600,607.0,653.0,709,712.0,751.0,912,911.0,953.0,1147,1147.0,1206.0,1235,1235.0,1292.0,162080,41.1887572,-81.2518833
13,39,153,Summit County,OH,600,607.0,653.0,709,712.0,751.0,912,911.0,953.0,1147,1147.0,1206.0,1235,1235.0,1292.0,541320,40.9177221,-111.3993513
14,13,7,Baker County,GA,643,668.0,562.0,666,690.0,581.0,791,814.0,704.0,1031,1054.0,887.0,1151,1215.0,1036.0,3250,44.7652304,-117.67692
15,13,95,Dougherty County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,91520,31.5439375,-84.2278796
16,13,177,Lee County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,29215,26.6630286,-81.9534815
17,13,273,Terrell County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,8980,30.2348611,-102.1632718
18,13,321,Worth County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,20810,31.5282489,-83.8897057
19,41,43,Linn County,OR,758,839.0,854.0,875,908.0,915.0,1153,1197.0,1203.0,1643,1681.0,1674.0,1919,1994.0,1965.0,121075,42.0659844,-91.67606909999999
20,36,1,Albany County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,308580,42.6525793,-73.7562317
21,36,83,Rensselaer County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,159800,42.673664,-73.55941279999999
22,36,91,Saratoga County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,226630,43.0324245,-73.93598209999999
23,36,93,Schenectady County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,155240,42.8493445,-73.98300290000002
24,36,95,Schoharie County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,31610,42.65503349999999,-74.4994517
25,35,1,Bernalillo County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,674855,35.0177854,-106.6291304
26,35,43,Sandoval County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,138815,35.6020667,-106.7234639
27,35,57,Torrance County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,15535,34.6784317,-105.9699878
28,35,61,Valencia County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,75845,34.6743674,-106.6291304
29,22,43,Grant Parish,LA,556,569.0,577.0,687,684.0,676.0,853,862.0,868.0,1122,1142.0,1165.0,1271,1261.0,1268.0,22305,31.6943716,-92.539603
30,22,79,Rapides Parish,LA,556,569.0,577.0,687,684.0,676.0,853,862.0,868.0,1122,1142.0,1165.0,1271,1261.0,1268.0,132080,31.1461104,-92.539603
31,42,25,Carbon County,PA,742,851.0,898.0,861,962.0,1011.0,1098,1230.0,1288.0,1421,1591.0,1660.0,1487,1668.0,1747.0,63985,39.6479807,-110.6168921
32,42,77,Lehigh County,PA,742,851.0,898.0,861,962.0,1011.0,1098,1230.0,1288.0,1421,1591.0,1660.0,1487,1668.0,1747.0,360775,40.6519679,-75.5742467
33,42,95,Northampton County,PA,742,851.0,898.0,861,962.0,1011.0,1098,1230.0,1288.0,1421,1591.0,1660.0,1487,1668.0,1747.0,300940,40.7749283,-75.294569
34,34,41,Warren County,NJ,891,995.0,1058.0,1017,1101.0,1192.0,1246,1356.0,1461.0,1553,1687.0,1806.0,1688,1839.0,1999.0,107090,39.4241422,-84.1857115
35,42,13,Blair County,PA,595,609.0,596.0,654,686.0,731.0,817,855.0,895.0,1018,1063.0,1106.0,1107,1159.0,1214.0,124735,40.4531318,-78.3842227
36,48,11,Armstrong County,TX,638,670.0,664.0,723,751.0,761.0,934,965.0,970.0,1276,1317.0,1314.0,1428,1498.0,1518.0,1930,40.8790518,-79.4703885
